iter	Passed	Remaining
0	169	169632
1	172	86045
2	175	58169
3	180	44865
4	184	36634
5	187	30999
6	189	26814
7	191	23794
8	198	21878
9	201	19921
10	203	18326
11	206	17013
12	212	16158
13	215	15211
14	218	14337
15	220	13575
16	224	12964
17	227	12391
18	229	11863
19	231	11354
20	234	10922
21	236	10522
22	240	10213
23	242	9878
24	244	9552
25	248	9301
26	255	9192
27	256	8918
28	258	8663
29	261	8459
30	267	8373
31	270	8181
32	273	8021
33	275	7830
34	277	7648
35	321	8611
36	325	8473
37	327	8289
38	329	8129
39	332	7980
40	335	7839
41	338	7732
42	341	7608
43	344	7495
44	350	7429
45	353	7332
46	356	7220
47	359	7137
48	361	7022
49	368	7000
50	371	6914
51	374	6818
52	375	6711
53	381	6682
54	383	6587
55	385	6504
56	389	6444
57	395	6427
58	397	6342
59	400	6282
60	405	6235
61	411	6222
62	416	6191
63	419	6130
64	428	6163
65	431	6103
66	433	6042
67	443	6081
68	445	6015
69	447	5947
70	456	5967
71	457	5902
72	459	5836
73	461	5775
74	463	5714
75	465	5654
76	470	5641
77	473	5597
78	477	5563
79	478	5508
80	481	5457
81	485	5434
82	486	5373
83	488	5321
84	489	5272
85	491	5223
86	493	5180
87	499	5178
88	541	5537
89	544	5509
90	547	5471
91	550	5431
92	553	5397
93	555	5349
94	560	5341
95	564	5314
96	567	5279
97	569	5246
98	576	5246
99	585	5271
100	587	5228
101	591	5205
102	592	5163
103	594	5121
104	596	5081
105	597	5041
106	599	5003
107	601	4964
108	605	4953
109	608	4923
110	610	4887
111	611	4851
112	613	4815
113	615	4780
114	616	4745
115	623	4751
116	624	4715
117	626	4682
118	628	4649
119	629	4616
120	631	4587
121	637	4587
122	639	4557
123	641	4528
124	642	4500
125	645	4477
126	646	4447
127	652	4444
128	654	4418
129	656	4390
130	657	4362
131	659	4334
132	660	4308
133	666	4304
134	667	4278
135	669	4252
136	671	4226
137	672	4202
138	674	4177
139	676	4153
140	680	4145
141	681	4119
142	683	4095
143	685	4072
144	686	4049
145	688	4025
146	690	4004
147	695	4001
148	696	3979
149	698	3959
150	700	3937
151	702	3917
152	703	3896
153	705	3877
154	711	3876
155	712	3856
156	714	3835
157	716	3815
158	717	3795
159	719	3775
160	720	3752
161	722	3739
162	725	3723
163	726	3704
164	755	3825
165	757	3806
166	759	3786
167	761	3769
168	762	3751
169	764	3733
170	766	3714
171	770	3710
172	772	3693
173	774	3675
174	775	3657
175	777	3639
176	779	3622
177	780	3606
178	785	3601
179	787	3585
180	789	3571
181	791	3555
182	793	3542
183	795	3526
184	800	3525
185	802	3511
186	804	3496
187	806	3482
188	807	3467
189	809	3452
190	814	3449
191	816	3437
192	818	3423
193	820	3408
194	822	3394
195	824	3380
196	829	3379
197	830	3365
198	832	3352
199	834	3339
200	836	3326
201	838	3312
202	840	3299
203	845	3299
204	847	3286
205	849	3273
206	851	3261
207	853	3249
208	855	3236
209	860	3235
210	862	3226
211	865	3215
212	866	3203
213	869	3192
214	875	3196
215	879	3191
216	881	3180
217	883	3168
218	890	3174
219	892	3164
220	894	3153
221	896	3141
222	898	3129
223	900	3119
224	905	3119
225	908	3110
226	910	3100
227	912	3089
228	914	3078
229	918	3074
230	920	3063
231	922	3052
232	924	3041
233	925	3030
234	927	3020
235	929	3009
236	934	3008
237	936	2998
238	938	2987
239	940	2976
240	942	2969
241	945	2961
242	953	2969
243	971	3010
244	996	3069
245	999	3062
246	1001	3053
247	1003	3043
248	1005	3033
249	1009	3028
250	1013	3025
251	1016	3016
252	1017	3004
253	1019	2994
254	1021	2983
255	1023	2973
256	1028	2974
257	1030	2964
258	1032	2955
259	1034	2945
260	1037	2937
261	1050	2959
262	1062	2978
263	1078	3006
264	1083	3004
265	1117	3082
266	1197	3287
267	1244	3400
268	1256	3414
269	1259	3404
270	1262	3396
271	1268	3396
272	1274	3393
273	1285	3406
274	1299	3426
275	1330	3490
276	1370	3575
277	1374	3569
278	1378	3561
279	1381	3552
280	1384	3542
281	1390	3539
282	1392	3528
283	1404	3541
284	1423	3570
285	1427	3564
286	1474	3662
287	1499	3707
288	1509	3713
289	1521	3724
290	1527	3721
291	1531	3713
292	1538	3711
293	1567	3763
294	1570	3754
295	1573	3742
296	1580	3740
297	1584	3732
298	1588	3723
299	1591	3712
300	1613	3746
301	1619	3742
302	1631	3752
303	1654	3787
304	1660	3783
305	1664	3775
306	1712	3866
307	1715	3854
308	1719	3844
309	1725	3841
310	1731	3835
311	1742	3842
312	1765	3874
313	1779	3888
314	1785	3882
315	1788	3872
316	1792	3862
317	1795	3851
318	1798	3838
319	1801	3828
320	1806	3821
321	1814	3821
322	1832	3840
323	1840	3839
324	1850	3842
325	1855	3836
326	1862	3832
327	1866	3824
328	1883	3842
329	1887	3831
330	1895	3831
331	1902	3828
332	1958	3922
333	1966	3921
334	1971	3913
335	1974	3902
336	1983	3901
337	1996	3909
338	1999	3898
339	2007	3897
340	2010	3885
341	2017	3880
342	2026	3880
343	2029	3869
344	2032	3859
345	2039	3855
346	2043	3845
347	2050	3841
348	2060	3843
349	2063	3831
350	2065	3819
351	2072	3816
352	2075	3804
353	2078	3793
354	2081	3782
355	2087	3776
356	2090	3764
357	2094	3756
358	2114	3775
359	2122	3774
360	2125	3762
361	2129	3752
362	2176	3819
363	2184	3816
364	2186	3804
365	2189	3793
366	2193	3783
367	2201	3780
368	2204	3769
369	2214	3771
370	2219	3762
371	2222	3751
372	2230	3750
373	2234	3740
374	2237	3728
375	2239	3717
376	2245	3709
377	2248	3700
378	2254	3694
379	2257	3682
380	2259	3671
381	2273	3678
382	2276	3667
383	2279	3656
384	2286	3652
385	2289	3642
386	2293	3632
387	2300	3628
388	2302	3616
389	2307	3609
390	2319	3612
391	2322	3602
392	2325	3591
393	2333	3588
394	2336	3579
395	2339	3568
396	2344	3561
397	2347	3550
398	2349	3538
399	2351	3526
400	2352	3514
401	2354	3503
402	2360	3496
403	2362	3484
404	2377	3492
405	2425	3547
406	2427	3536
407	2429	3524
408	2432	3515
409	2435	3504
410	2440	3497
411	2442	3485
412	2443	3473
413	2445	3461
414	2447	3450
415	2450	3440
416	2455	3433
417	2457	3422
418	2460	3411
419	2461	3399
420	2463	3388
421	2465	3377
422	2470	3370
423	2472	3359
424	2474	3348
425	2476	3336
426	2478	3326
427	2482	3317
428	2488	3311
429	2490	3301
430	2492	3290
431	2494	3280
432	2502	3276
433	2504	3265
